	ID	Predicted_Category
0	9561	Politics
1	10802	Technology
2	6727	Technology
3	12366	Business
4	11783	Business
5	14177	Business
6	308	Business
7	13636	Technology
8	1042	Technology
9	1227	Business
10	4042	Film
11	2578	Business
12	3615	Technology
13	1661	Business
14	3242	Business
15	10178	Business
16	3533	Business
17	8749	Technology
18	8127	Technology
19	3745	Technology
20	12163	Technology
21	10901	Business
22	7669	Business
23	569	Business
24	3053	Film
25	12288	Football
26	1320	Business
27	13094	Business
28	3426	Technology
29	4273	Politics
30	11010	Technology
31	6441	Football
32	7474	Technology
33	8028	Business
34	11932	Business
35	14299	Football
36	1852	Business
37	7987	Technology
38	8934	Politics
39	3619	Football
40	3217	Football
41	3000	Football
42	8207	Politics
43	6808	Politics
44	10376	Football
45	11542	Film
46	7983	Football
47	5460	Business
48	13994	Business
49	13084	Business
50	11525	Politics
51	11092	Politics
52	2920	Film
53	4250	Film
54	13967	Politics
55	11352	Technology
56	314	Film
57	9020	Politics
58	2639	Film
59	10745	Film
60	2728	Film
61	1150	Film
62	2047	Film
63	122	Film
64	8744	Film
65	14626	Politics
66	3976	Business
67	14097	Film
68	1713	Politics
69	382	Politics
70	7872	Technology
71	12942	Business
72	5931	Business
73	11473	Business
74	11692	Politics
75	14957	Politics
76	15229	Politics
77	7500	Business
78	640	Politics
79	93	Politics
80	6406	Business
81	2058	Football
82	14935	Business
83	14359	Film
84	13023	Film
85	9387	Business
86	13259	Football
87	11503	Business
88	1362	Business
89	1139	Business
90	11391	Business
91	9026	Business
92	4803	Business
93	2331	Business
94	12102	Politics
95	1264	Business
96	15248	Business
97	8880	Film
98	7965	Politics
99	7700	Film
100	6167	Business
101	4373	Business
102	15188	Technology
103	13418	Business
104	6760	Business
105	10684	Business
106	8333	Technology
107	13277	Technology
108	3876	Business
109	5611	Technology
110	2713	Technology
111	3873	Technology
112	3900	Technology
113	10522	Technology
114	1903	Business
115	12109	Business
116	9210	Business
117	10173	Business
118	10817	Technology
119	12071	Technology
120	8170	Technology
121	6309	Business
122	14598	Technology
123	7696	Technology
124	9036	Business
125	4582	Technology
126	3790	Business
127	3553	Business
128	12726	Business
129	2549	Politics
130	2615	Film
131	440	Business
132	4544	Politics
133	6771	Politics
134	12906	Business
135	10517	Business
136	7624	Politics
137	3027	Business
138	7495	Politics
139	10619	Politics
140	11183	Technology
141	10072	Technology
142	5786	Technology
143	6640	Football
144	15044	Business
145	3393	Film
146	9239	Technology
147	12189	Business
148	9207	Business
149	6731	Politics
150	7188	Business
151	13536	Politics
152	6602	Politics
153	591	Politics
154	274	Politics
155	2688	Business
156	9883	Politics
157	8564	Business
158	12774	Politics
159	6912	Politics
160	11214	Technology
161	11269	Politics
162	14057	Politics
163	14754	Politics
164	13151	Business
165	7102	Business
166	2200	Politics
167	8344	Business
168	4311	Business
169	6258	Politics
170	3392	Business
171	3657	Business
172	10958	Business
173	8732	Business
174	7260	Business
175	7890	Business
176	14973	Business
177	11573	Business
178	4212	Business
179	15131	Business
180	8068	Business
181	3409	Business
182	13416	Business
183	190	Business
184	14296	Politics
185	10274	Business
186	250	Politics
187	14613	Business
188	9130	Business
189	9427	Business
190	5367	Business
191	1862	Politics
192	2595	Business
193	13604	Business
194	13779	Business
195	11973	Business
196	5226	Politics
197	9825	Business
198	3141	Business
199	2961	Business
200	415	Business
201	1080	Business
202	4639	Business
203	14083	Business
204	10908	Business
205	7991	Business
206	5396	Business
207	535	Business
208	2152	Film
209	5818	Business
210	12064	Business
211	3698	Technology
212	3373	Business
213	5754	Business
214	4520	Technology
215	8928	Business
216	6337	Business
217	15216	Film
218	2660	Business
219	14293	Politics
220	11136	Politics
221	7306	Business
222	8970	Politics
223	12245	Business
224	3836	Business
225	4637	Business
226	6815	Politics
227	10189	Business
228	2867	Politics
229	8845	Film
230	14790	Politics
231	3783	Film
232	13491	Business
233	2196	Football
234	7564	Technology
235	10048	Technology
236	13713	Technology
237	6471	Technology
238	4812	Film
239	6722	Technology
240	7593	Business
241	2811	Business
242	12750	Business
243	14221	Business
244	1925	Business
245	923	Business
246	9985	Business
247	10878	Politics
248	9635	Politics
249	7095	Technology
250	9298	Technology
251	8306	Technology
252	15071	Technology
253	364	Film
254	4710	Technology
255	7754	Technology
256	7162	Technology
257	6313	Technology
258	11687	Technology
259	3519	Technology
260	6810	Technology
261	3610	Business
262	12112	Business
263	5153	Technology
264	13966	Technology
265	6853	Technology
266	12231	Technology
267	8055	Technology
268	6063	Politics
269	10676	Business
270	2463	Business
271	917	Business
272	11552	Technology
273	12899	Technology
274	9329	Technology
275	8878	Technology
276	13289	Technology
277	8839	Business
278	1966	Politics
279	9441	Film
280	3152	Film
281	6146	Technology
282	15136	Technology
283	2945	Technology
